term,phrase,tag1,tag2,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4
進む,私 の 進む 先 に 輝く 希望…,動詞,,en,すすむ= 1: to advance; to go forward; 2: to precede; to go ahead (of); 3: to make progress; to improve; 4: to deepen; to heighten; 5: to do of one's own free will,,,,,,
出会い,新しい 土地 新しい 出会い,動詞,出会う,en,meeting; rendezvous; encounter,,,,,,
土地,新しい 土地 新しい 出会い,名詞,,en,"plot of land, lot, soil",,,,,,
新しい,新しい 土地 新しい 出会い,形容詞,,en,"adj.  (Hira=あたらしい) new, existing for the first time; modern; novel, fresh",,,,,,
始まり,…から 新 生活 が 始まり ます,動詞,始まる,en,"(Hira=はじまり) start, beginning",,,,,,
生活,…決まり 今日 から 新 生活 が 始まり ます,名詞,,en,"living, life, livelihood, lifestyle",,,,,,
決まり,…企業 に 就職 が 決まり 今日 から 新 生活…,動詞,決まる,en,settlement; conclusion; end; agreement; arrangement,,,,,,
就職,…内 の 企業 に 就職 が 決まり 今日 から…,名詞,,en,n.  (Hira=しゅうしょく) finding employment .,,,,,,
企業,都 内 の 企業 に 就職 が 決まり…,名詞,,en,"enterprise, company",,,,,,
都,都 内 の 企業 に…,名詞,,en,capital,,,,,,
内,都 内 の 企業 に 就職…,名詞,,en,"inside, interior",,,,,,
です,…歩 を 踏み出す 日 です,だ,判定詞,en,be; is,,,,,,
す,…一員 と して 記念 す べき 第 一 歩…,接頭辞,,en,To,,,,,,
記念,…の 一員 と して 記念 す べき 第 一…,名詞,,en,"commemoration, memory, tribute, memorial",,,,,,
踏み出す,…第 一 歩 を 踏み出す 日 です,動詞,,en,Step forward,,,,,,
歩,…す べき 第 一 歩 を 踏み出す 日 です,名詞,,en,ほ 	1: step; stride; 2: (Counter) counter for steps,,,,,,
第,…して 記念 す べき 第 一 歩 を 踏み出す…,接頭辞,,en,"(だい) part, number",,,,,,
一員,そして 我が 社 の 一員 と して 記念 す…,名詞,,en,"一員 n. (Hira=いちいん) person, individual human; member, individual belonging to an organization or group",,,,,,
社,そして 我が 社 の 一員 と して…,名詞,,en,"しゃ (n, n-suf, abbr) - company, association, society; counter for companies, shrines",,,,,,
我が,そして 我が 社 の 一員 と…,連体詞,,en,my,,,,,,
社会,…は 皆さん が 新 社会 人 と して―,名詞,,en,society,,,,,,
新,本日 は 皆さん が 新 社会 人 と して―,接頭辞,,en,[Shin] new,,,,,,
本日,本日 は 皆さん が 新…,名詞,,en,today,,,,,,
おめでとう,（ 社長） 入社 おめでとう ございます,感動詞,,en,congratulations,,,,,,
入社,（ 社長） 入社 おめでとう ございます,名詞,,en,にゅうしゃ entry to a company,,,,,,
社長,（ 社長） 入社 おめでとう ございます,名詞,,en,"(Hira=しゃちょう) company president, director, manager",,,,,,
ので,…番 好きな 季節 な ので、3 月 に なる と、…,助動詞,のだ,en,"since, because, in order to",,,,,,
季節,…が 一 番 好きな 季節 な ので、3 月 に…,名詞,,en,season,,,,,,
好きな,…春 が 一 番 好きな 季節 な ので、3 月…,形容詞,好きだ,en,"preferable, favorite, liked, beloved",,,,,,
番,…は、 春 が 一 番 好きな 季節 な ので、3…,名詞,,en,"(Hira=ばん) watching, guarding; number, identifying numeral (e.g. of a house); rank; turn, opportunity or responsibility for action which is given in order; match, (sumo, shogi, go) identifier",,,,,,
一,私 は、 春 が 一 番 好きな 季節 な…,名詞,,pt,"( ひと, いち  ) one",,,,,,
春,私 は、 春 が 一 番 好きな…,名詞,,en,"spring, springtime",,,,,,
ね,私 は うれしい です ね。,助詞,,en,right? / isn't it? / ok?,,,,,,
うれしい,私 は うれしい です ね。,形容詞,,en,happy,,,,,,
月,月 に なりました。,名詞,,en,"つき moon, month",,,,,,
皆さん,皆さん、 こんにちは、 のりこ です。,名詞,,,,,,,,,
感じ,…に 来て いるって いう 感じ が します。,動詞,感ずる,en,"feeling, sense",,,,,,
知り,…あまり その こと を 知り ませ ん。,知る,動詞,en,"(Hira=しる) know, be acquainted with; understand, feel",,,,,,
実は,…ように 聞こえ ます が、 実は、 あまり その こと を…,副詞,,en,"adv. (Hira=じつは) as a matter of fact, in fact, to tell the truth",,,,,,
自信,彼 は 自信 を 持って いる ように…,名詞,,en,"n. (Hira=じしん) self confidence, believing in oneself",,,,,,
働き,…です が、 一生懸命 は 働き たく ない です。,動詞,働く,en,"働く (Hira=はたらく) work, labor; do, act; commit; reduce the price; fag",,,,,,
一生懸命,…稼ぎ たい です が、 一生懸命 は 働き たく ない…,形容詞,一生懸命だ,en,"(Hira=いっしょうけんめい) with utmost effort, with all one's strength, with all one's might, as much as one could",,,,,,
稼ぎ,…は お 金 を 稼ぎ たい です が、 一生懸命…,動詞,稼ぐ,en,"n. (Hira=かせぎ) earnings, money earned, wages; profit",,,,,,
売れ ませ ん,…書き ました が、 あまり 売れ ませ ん でした。,,,en,Do not sell,,,,,,
売れ,…書き ました が、 あまり 売れ ませ ん でした。,動詞,売れる,en,v. (Hira=うる) vend; sell,,,,,,
書き,…は 素晴らしい 本 を 書き ました が、 あまり 売れ…,動詞,書く,en,write,,,,,,
本,彼 は 素晴らしい 本 を 書き ました が、…,名詞,,en,"adj. (Hira=ほん) main, principal, head, chief, book",,,,,,
素晴らしい,彼 は 素晴らしい 本 を 書き ました…,形容詞,,en,wonderful,,,,,,
言って,あなた は そう 言って いい けれど、 私 は…,言う,動詞,en,"v.  いう) tell; say, remark",,,,,,
けれど,…は そう 言って いい けれど、 私 は 信じ られ…,接続詞,,en,"conj.  but, however, yet",,,,,,
いい,あなた は そう 言って いい けれど、 私 は 信じ…,形容詞,,en,Good,,,,,,
子供,…たち は 女の子 だけ 子供 が い ます。,名詞,,en,"n.  (Hira=こども) child, children, kid, tot, infant, son; daughter",,,,,,
女の子,…が、 私 たち は 女の子 だけ 子供 が い…,名詞,,en,"(Hira=おんなのこ) girl, young female child, young female;",,,,,,
カップル,あの カップル は 男の子 だけ い…,名詞,,en,couple,,,,,,
好きで,…好きです が、 私 は 好きで は あり ませ ん。,形容詞,好きだ,en,"(Hira=すきで) like, liking",,,,,,
あり ませ ん,…私 は 好きで は あり ませ ん。,,,en,Inflection of ある - to be (inanimate) Masen-form. (Polite Negative),,,,,,
好きです,彼 は ケーキ が 好きです が、 私 は 好きで…,形容詞,好きだ,en,"likes, like　す　好く(Hira=すく) like",,,,,,
休暇 中,はい、 彼 は 休暇 中 フランス 語 を 勉強…,,,en,on vacation,,,,,,
安く,いいえ、 フランス は 安く ありません。,形容詞,安い,en,"adv. cheaply, inexpensively",,,,,,
安い,フランス は 安い です か？,形容詞,,en,"(Hira=やすい) cheap, inexpensive; peaceful, calm, tranquil; gossipy",,,,,,
いたい,ダスティン は 家 に いたい です か？,,,en,want to stay,,,,,,
フリータイム,ダスティン は 冬 に フリータイム が あります か？,名詞,,en,free time,,,,,,
め,…お 金 を 貯 め、 家 に いる こと…,名詞,,en,"め can be attached to an い-adjective stems which are expressing quantity or extent of something and adds the meaning of ""a bit"" or ""slightly.""",,,,,,
貯,…し、 お 金 を 貯 め、 家 に いる…,名詞,,en,ためる to save,,,,,,
金,…は 勉強 し、 お 金 を 貯 め、 家…,名詞,,en,"gold, metal, money",,,,,,
勉強 し,彼 は 勉強 し、 お 金 を 貯…,,,en,Study to,,,,,,
勉強,彼 は 勉強 し、 お 金 を…,名詞,,en,study,,,,,,
話せません,…は フランス 語 が 話せません。,,,en,can't speak,,,,,,
かかります,…券 代 が とても かかります。,,,en,"takes (money, a resource); costs",,,,,,
高い,しかし フランス は 高い です。,形容詞,,en,(Hira=たかい) tall; high; expensive,,,,,,
行きたい,彼 は フランス に 行きたい と 思って います。,,,en,I want to go,,,,,,
代,航空 券 代 が とても かかります。,名詞,,en,"【しろ】 (n) (1) substitution; (2) material; (3) price; (4) margin (e.g. for stapling, etc.); area required for something; (5)////【だい】 (n,n-suf) (1) charge; cost; price; (2) generation; age; reign; (3) (geological) era; (4) (after someone's name or title",,,,,,
券,航空 券 代 が とても かかります。,名詞,,en,ticket; coupon; bond; certificate,,,,,,
航空,航空 券 代 が とても…,名詞,,en,"(Hira=こうくう) aviation, flying, science of flying aircraft",,,,,,
わかりません,…どこ に 行く か わかりません。,,,en,I do not know,,,,,,
フランス,それ に ダスティン は フランス 語 が 話せません。,名詞,,en,France,,,,,,
よい,…仕事 を し なくて よい の です。,形容詞,,en,The good,,,,,,
週間,彼 は 2 週間 仕事 を し なくて…,名詞,,en,"(Hira=しゅうかん) week, week identifier",,,,,,
思って,…休暇 を とりたい と 思って います。,思う,動詞,en,"思う v. (Alt=想う, Hira=おもう) think, feel, deem, suppose, seem",,,,,,
とりたい,彼 は 休暇 を とりたい と 思って います。,,,en,I want to take,,,,,,
休暇,彼 は 休暇 を とりたい と 思って…,名詞,,en,"(Hira=きゅうか) holiday, day off; furlough, time off",,,,,,
なくて よい,…週間 仕事 を し なくて よい の です。,,,en,Not required,,,,,,
なくて,…週間 仕事 を し なくて よい の です。,ない,形容詞,en,MUST (negative auxiliary word used to express the standard form),,,,,,
彼 は,彼 は 2 週間 仕事 を し…,,,en,he,,,,,,
何 日,彼 は 冬 に 何 日 か お 休み が…,,,en,なんにち【何日】 (Expression) What day // How many days,,,,,,
何,彼 は 冬 に 何 日 か お 休み…,名詞,,en,"adj.  (Hira=なに,なん) what, word used in question to request specific information; which",,,,,,
日,…は 冬 に 何 日 か お 休み が…,名詞,,en,"n.  (Hira=ひ,にち) sun, sunshine; day",,,,,,
わくわく,…は 冬 休み で わくわく して います。,副詞,,en,tremble; get nervous; excitedly; thrilled,,,,,,
冬 休み,A) ダスティン は 冬 休み で わくわく して います。,,,en,Winter break,,,,,,
休み,A) ダスティン は 冬 休み で わくわく して います。,動詞,休む,en,Holiday,,,,,,
冬,A) ダスティン は 冬 休み で わくわく して…,名詞,,en,winter,,,,,,
ダスティン,A) ダスティン は 冬 休み で…,名詞,,en,Dustin,,,,,,
いいえ,いいえ、 マイク は 紅茶 を…,感動詞,,en,no,,,,,,
紅茶,マイク は 紅茶 を 飲みます か？,名詞,,en,n. (Hira=こうちゃ) black tea,,,,,,
早く,マイク は 朝 早く 起きます か？,形容詞,早い,en,はやく early; soon; quickly; swiftly; rapidly; fast,,,,,,
質問,質問:,名詞,,en,"(Hira=しつもん) question, query, inquiry, enquiry",,,,,,
このような,私 は このような（ この様 な） お客様 と…,指示詞,,en,"adj. such, like, such as this, like this, like that, suchlike, of any such kind",,,,,,
たくさんの,私 は たくさんの 友好的 な 人たち と…,形容詞,たくさんだ,en,"adj. (Kanji=沢山の) galore, numerous, in abundance",,,,,,
感じます,…を する 時 幸せに 感じます。,,,en,感じる 【かんじる】 (v1) to feel; to sense; to experience; (P),,,,,,
幸せに,…話し を する 時 幸せに 感じます。,形容詞,幸せだ,en,"adv. (Hira=しあわせに) happily, gladly; joyfully; fortunately",,,,,,
話し,…この様 な） お客様 と 話し を する 時 幸せに…,話す,動詞,en,"talk, speech; story; conversation",,,,,,
この様,マイク は このよう な（ この様 な） お客様 と 話し…,,,en,like this; this sort; this way (usually written using kana alone),,,,,,
このよう,マイク は このよう な（ この様 な） お客様…,,,en,like this,,,,,,
できます,…と 会う こと が できます。,,,en,be able to,,,,,,
こと,…な 人たち と 会う こと が できます。,名詞,,en,こと is often placed after dictionary form of verbs to make the verbs into nouns so we can talk about the action.,,,,,,
人たち,…たくさん の 友好的 な 人たち と 会う こと が…,,,en,"n. (Hira=ひとたち) people, human beings, persons",,,,,,
会う,…友好的 な 人たち と 会う こと が できます。,動詞,,en,(Hira=あう) to meet; to encounter,,,,,,
友好的,マイク は たくさん の 友好的 な 人たち と 会う…,,,en,"(Hira=ゆうこうてきな) friendly, kindly, welcoming, cordial, amicable",,,,,,
話します,…の 異なった 言語 で 話します。,,,en,"(v5s, vt) to talk; to speak; to converse; to chat",,,,,,
言語,…は 多く の 異なった 言語 で 話します。,名詞,,en,げんご language,,,,,,
異なった,彼ら は 多く の 異なった 言語 で 話します。,動詞,異なる,en,"ことなった different, not the same; unusual",,,,,,
彼ら,彼ら は 多く の 異なった…,名詞,,en,かれら (1) they (usually male); (2) those;,,,,,,
来ます,…いろいろ な 国 から 来ます。,,,en,come,,,,,,
できる,…来年 移る こと が できる から です。,動詞,,en,can (to be able to),,,,,,
移る,…で 彼 は 来年 移る こと が できる から…,動詞,,en,"うつる - move, transfer, immigrate",,,,,,
な,お客様 は いろいろ な 国 から 来ます。,名詞,,en,(sentence end) indicates emotion or emphasis,,,,,,
いろいろ,お客様 は いろいろ な 国 から 来ます。,副詞,,en,"(Kanji=色色) variety, assortment, collection",,,,,,
作ります,…お客様 に 食事 を 作ります。,,,en,"make, create,  prepare",,,,,,
食事,…の すいた お客様 に 食事 を 作ります。,名詞,,en,n.  (Hira=しょくじ) meal; food,,,,,,
お客様,…は おなか の すいた お客様 に 食事 を 作ります。,,,en,お客さま; お客様; 御客様 【おきゃくさま】 (n) (hon) guest; visitor; customer; ED,,,,,,
おなか,彼 は おなか の すいた お客様 に…,名詞,,en,(Kanji=お腹) stomach,,,,,,
レストラン,マイク は レストラン で 料理 を して…,名詞,,en,restaurant,,,,,,
始まります,…時 三十 分 から 始まります。,,,en,[Haji mari masu] Begins,,,,,,
分,…は 七 時 三十 分 から 始まります。,名詞,,en,n. [ふん - fun] Minute,,,,,,
運転します,…ため に 車 を 運転します。,,,en,driving,,,,,,
車,…仕事 の ため に 車 を 運転します。,名詞,,en,くるま  car,,,,,,
飲みます,…を 作り コーヒー を 飲みます。,,,en,drink,,,,,,
作り,彼 は 朝食 を 作り コーヒー を 飲みます。,動詞,作る,en,"v. (Alt=造る, Hira=つくる) make, create, manufacture, fabricate; prepare;",,,,,,
朝食,彼 は 朝食 を 作り コーヒー を…,名詞,,en,"n. (Hira=ちょうしょく) breakfast, first meal of the day, morning meal",,,,,,
六,A) マイク は 毎朝 六 時 に 起きます。,名詞,,en,"(むっ,  ろく） six",,,,,,
毎朝,A) マイク は 毎朝 六 時 に 起きます。,名詞,,en,every morning,,,,,,
似て,そう いえば 、 あなた に 似て いる 人 が います 。,,,en,Similar,,,,,,
そう,そう いえば 、 あなた に 似て いる 人 が います 。,,,en,"so; really; appearing that; seeming that; looking like, in such manner",,,,,,
兄,兄 を 探して います。,名詞,,en,あに older brother,,,,,,
人 を 探して いる のです が,人 を 探して いる のです が。,,,en,I'm looking for a someone,,,,,,
探して,人 を 探して いる のです が。,動詞,探す,en,"find """,,,,,,
二,お 二 人 に お 会い…,名詞,,en,"futari , Two",,,,,,
できて,お 会い できて 嬉しい です。,動詞,できる,en,"(Kanji=出来る) can, be able to, be capable of -, positive auxiliary word used to express possibility in the present tense",,,,,,
嬉しい,お 会い できて 嬉しい です。,形容詞,,en,happy,,,,,,
私,私 の 名前 は まりこ…,名詞,,en,I; me,,,,,,
ご用,何 か ご用 です か？,名詞,,en,"(Hira=ごよう) your order; commerce, your business; official business",,,,,,
来てください,…行って から、 会社 に 来てください。,,,en,Please come きて ください,,,,,,
開きます,銀行 で 口座 を 開きます,,,en,"v.  (Hira=あく,ひらく) open, move to an open position; be moved to an open position; be open",,,,,,
口座,銀行 で 口座 を 開きます,名詞,,en,"n. (こうざ) account, bank account",,,,,,
午前中,午前中 は 市役所 と 銀行…,,,en,【ごぜんちゅう】 (n) this morning; in the morning; throughout the morning,,,,,,
から,…と 銀行 に 行って から、 会社 に 来てください。,助詞,,en,from; because; since,,,,,,
行って,…市役所 と 銀行 に 行って から、 会社 に 来てください。,動詞,行う,en,"行く v. (Hira=いく,ゆく) go, proceed, move;",,,,,,
銀行,…の 朝、 市役所 と 銀行 に 行って から、 会社…,名詞,,pt,ぎんこう=  bank,,,,,,
市役所,クオン： 明日 の 朝、 市役所 と 銀行 に 行って…,,,en,しやくしょ - municipal office; council; city hall,,,,,,
朝,クオン： 明日 の 朝、 市役所 と 銀行 に…,名詞,,en,"n. (Hira=あさ) morning, sunrise, beginning of the day; brightening, act or instanc",,,,,,
明日,クオン： 明日 の 朝、 市役所 と…,名詞,,en,tomorrow,,,,,,
ください,クオン さん も 手伝って ください。,動詞,くださる,en,"adv. (Kanji=下さい) would you please, please, if you would be so kind",,,,,,
手伝って,クオン さん も 手伝って ください。,動詞,手伝う,en,"v.  (Hira=てつだう) help, assist, aid",,,,,,
終わりません,まだ 仕事 が 終わりません。,,,en,It does not end,,,,,,
まだ,まだ 仕事 が 終わりません。,副詞,,,,,,,,,
帰りません,クオン: 山田 さん、 一緒に 帰りません か？,,,en,[polite-negative] to return; to come home; to go home; to go back,,,,,,
一緒に,クオン: 山田 さん、 一緒に 帰りません か？,形容詞,一緒だ,en,together (いっしょに),,,,,,
起きます,…毎朝 六 時 に 起きます。,,,en,Get up,,,,,,
